SKIP
1,17,incentivize leading-edge networks,77
2,63,repurpose web-enabled info-mediaries,90
3,67,grow scalable solutions,1
4,9,embrace plug-and-play experiences,97
5,84,whiteboard viral metrics,42
6,45,iterate value-added solutions,10
7,55,exploit cross-platform deliverables,36
8,77,morph granular schemas,64
9,27,enhance next-generation partnerships,79
10,93,re-intermediate granular e-tailers,18
11,66,re-intermediate revolutionary applications,40
12,60,productize plug-and-play deliverables,31
13,34,strategize dot-com schemas,7
14,58,target vertical e-tailers,23
15,58,revolutionize transparent solutions,36
16,30,productize viral initiatives,21
17,3,visualize transparent e-business,84
18,53,orchestrate rich relationships,47
19,29,brand extensible interfaces,72
20,26,synergize plug-and-play web-readiness,7
21,42,cultivate dynamic functionalities,16
22,2,incubate e-business mindshare,52
23,62,grow extensible mindshare,27
24,8,morph virtual infrastructures,76
25,16,unleash end-to-end paradigms,91
26,45,seize vertical models,69
27,90,revolutionize front-end web-readiness,34
28,18,e-enable web-enabled vortals,42
29,77,transform value-added markets,96
30,40,embrace rich channels,56
31,34,redefine cross-platform e-commerce,16
32,13,exploit front-end models,10
33,82,integrate clicks-and-mortar e-tailers,86
34,91,generate web-enabled mindshare,12
35,32,engineer compelling e-business,56
36,70,visualize real-time deliverables,25
37,61,scale B2C interfaces,41
38,75,evolve real-time interfaces,97
39,89,repurpose scalable communities,89
40,37,matrix viral e-services,48
41,38,monetize transparent ROI,90
42,37,monetize wireless interfaces,15
43,35,strategize customized e-services,98
44,65,generate back-end channels,28
45,19,incentivize world-class systems,35
46,68,cultivate one-to-one platforms,16
47,31,disintermediate interactive convergence,94
48,4,extend scalable communities,48
49,74,engineer end-to-end users,58
50,49,optimize out-of-the-box infrastructures,15
